Bank name,Location of bank headquarters,"Total assets (billions, USD; S&P 2018)",Total assets (USD; S&P 2018),Does the bank have a sustainable finance commitment? ,Commitment in USD,Commitment description ,1.  Defines sustainability criteria.,"Detailed
description of criteria
and/or list of activities,
themes, and/or sectors",2. Identifies financial services included.,"Description of the
types of financial services
included",3. Provides specific timeline.,"Details
about the start and end
date of the commitment",1. Discloses accounting methodology.,"Details about
where the methodology is
published",2. Includes plans for reporting. ,"Details about
what/how the bank will
report",3. Endorsed by CEO/board chair.,"Details about
who endorsed the
commitment",  1. Annualized commitment in USD ,"2. Average annual fossil fuel finance in USD (2016-2018; sourced from RAN, 2019)",3a. Bank size by average total assets in USD (2016-2018),3b. Bank size by average annual revenue in USD (2016-2018),New or renewal?,"Type of commitment (Stock, Flow or Combination)?","Type of finance included, classified by WRI based on public information (lending, equity investment, grant, facilitation of (debt/equity) capital raising, advisory for merger & acquisition, insurance and other risk hedging products, internal spending on sustainability programs, asset management service, unclear)",Web presence of the commitment,Year 1 (beginning of commitment),End year,Start year with month,End year with month,Total commitment (in currency of bank),"Commitment currency 
(if not USD)","Timespan of commitment (# years)
","Year 0
",Exchange rate to USD in year 1,Sustainable finance at year 0 (in bank currency),"Definition of sustainable finance, other notes (for year 0)",Currency,"Exchange rate, 2018 (USD equivalent of 1 unit of currency)","Exchange rate, 2017 (USD equivalent of 1 unit of currency)","Exchange rate, 2016 (USD equivalent of 1 unit of currency)","Assets, 2018 (in bank currency)","Assets, 2017 (in bank currency)","Assets, 2016 (in bank currency)","Assets, 2018 (USD)","Assets, 2017 (USD)","Assets, 2016 (USD)","Average assets, 2016-2018 (USD)","Revenue, 2018 (in bank currency)","Revenue, 2017 (in bank currency)","Revenue, 2016 (in bank currency)",Notes on revenue,Further notes,"Revenue, 2018 (USD)","Revenue, 2017 (USD)","Revenue, 2017 (USD)","Average revenue, 2016-2018 (USD)","RAN total fossil fuel, 2018 (USD)","RAN total fossil fuel, 2017 (USD)","RAN total fossil fuel, 2016 (USD)","Average total fossil fuel, 2016-2018 (USD)",Link to press release (if available) ,Supplemental reference ,Additional supplemental reference
JPMorgan Chase & Co.,US ,"2,533.60","2,533,600,000,000",Yes ,"200,000,000,000",JPMorgan Chase & Co. committed to facilitating $200 billion in clean financing between 2016 and 2025.,Yes,"The commitment is designated for facilitating ""clean financing"" which is defined as facilitating new energy, transportation, waste management, water treatment and technology innovations.",Yes,"The bank gives examples of services it provides, such as, advising on strategic transactions and raising capital, underwriting debts, and providing tax equity finance.",Vague,The announcement was made in July 2017. The commitment is through 2025 but the start year was not specified. The bank confirmed the start year as 2016. ,No,"Although the bank provides several specific examples of activities under the $200 billion commitment, it does not describe an accounting methodology. ",Yes,"A reporting plan was not mentioned in the announcement but progress is reported. For example, its Environmental Social & Governance Report 2018 reported that the bank had facilitated more than $100 billion by the end of 2018.",Yes,The Chairman and CEO is quoted in the press release. ,"22,222,222,222","65,221,068,632","2,549,034,666,666.67","102,101,000,000",New,Flow,"Equity investment, facilitation of (debt/equity) capital raising, advisory for merger & acquisition, insurance and other risk hedging products","""Sustainability"" webpage",2016,2025,16-Jan,25-Dec,"200,000,000,000",,9,2015,1,NA,"The bank does not have the baseline number. From FY16 to FY18 it facilitated ~$100B in clean financing, but they haven't broken that down by year.", USD ,1,1,1,"2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,622,532,000,000","2,533,600,000,000","2,490,972,000,000","2,549,034,666,667","109,029,000,000","100,705,000,000","96,569,000,000", Total net revenue ,,"109,029,000,000","100,705,000,000","96,569,000,000","102,101,000,000","63,903,100,806.00","69,045,802,224","62,714,302,867","65,221,068,632",https://www.jpmorganchase.com/corporate/Corporate-Responsibility/document/jpmc-cr-sustainability-fact-sheet.pdf,,
Wells Fargo & Co.,US,"1,951.76","1,951,760,000,000",Yes,"200,000,000,000","Wells Fargo & Co committed to providing $200 billion in financing to sustainable businesses and projects between 2018 and 2030, with more than 50 percent focused on clean technology and renewable energy transactions that directly support the transition to a low-carbon economy. ",Yes,"The commitment indicates more than 50 percent of the amount will finance companies and projects that directly support the transition to a low-carbon economy, including clean technologies, renewable energy, green bonds, and alternative transportation; the remainder goes to those focused on sustainable agriculture, recycling, conservation, and other environmentally beneficial activities.",Yes,"The commitment includes sustainability loans, solar loan leases, equipment finance, project finance, tax equity finance,  bond investments, corporate bonds, municipal bonds, and philanthropy. At the time of publication, advisory and other fee-based services that contribute to sustainable finance categories were under consideration for inclusion. ",Specific,The announcement was made in April 2018. The announcement specified the commitment was by 2030 but start year was not specified. One of sustainability web-pages indicates the commitment period is from 2018 to 2030.,Yes,A detailed accounting methodology is provided on the website https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/sustainable-finance-methodology.pdf,Yes,"The announcement indicated the bank would provide robust progress and impact reporting on its website. The progress is reported, for example, in its Corporate Social Responsibility Report 2017.",Yes,The CEO made the announcement. ,"15,384,615,385","50,532,868,577","1,925,918,333,333.33","87,688,000,000",Renewal,Combination,"Lending, equity investments, facilitation of (debt/equity) capital raising. ","""Environmental Sustainability"" webpage",2018,2030,18-Jan,30-Dec,"200,000,000,000",,13,2017,1,"17,800,000,000",Broad definitions remain the same; but different methodology was used to track progress., USD ,1,1,1,"1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,925,918,333,333","86,408,000,000","88,389,000,000","88,267,000,000", Net interest income + Total noninterest income ,,"86,408,000,000","88,389,000,000","88,267,000,000","87,688,000,000","61,350,918,510.00","54,206,811,087","36,040,876,133","50,532,868,577",https://newsroom.wf.com/press-release/corporate-and-financial/wells-fargo-announces-200-billion-sustainable-financing,,
HSBC,UK,"2,521.77","2,521,770,000,000",Yes,"100,000,000,000",HSBC committed to providing $100 billion in sustainable financing and investment between 2017 and 2025. ,Yes,"The commitment is designated for developing clean energy, lower-carbon technologies, and projects that contribute to the delivery of the Paris Climate Agreement and the UN Sustainable Development Goals.",Yes,"The commitment includes facilitation (advisory service), financing (lending facilities) and investment (asset management service), according to ""HSBCs USD100bn Sustainable Financing and Investment Commitment - Data Dictionary.""",Specific,"The start date is not explicitly stated in the commitment announcement. But the document titled ""HSBCs USD100bn Sustainable Financing and Investment Commitment - Data Dictionary"" indicates that the commitment period started in 2017 and ends in 2025.",Yes,"The bank defines sustainable finance as ""any form of financial service which integrates environmental, social and governance (ESG) criteria into business or investment decisions."" A more detailed definition and an accounting methodology are provided in ""HSBCs USD100bn Sustainable Financing and Investment Commitment - Data Dictionary"" (https://www.hsbc.com/-/files/hsbc/our-approach/sustainability/190219-hsbc-sustainable-financing-data-dictionary.pdf?download=1).",Yes,"The reporting plan was not mentioned in the announcement but detailed reporting is provided, for example, in its ""Environmental, Social and Governance Update.""",Yes,The CEO is quoted in the announcement. ,"11,111,111,111","19,269,243,910","2,484,960,333,333.33","51,063,666,667",New,Combination,"Lending, facilitation of (debt/equity) capital raising, asset management service","""Sustainable Finance"" webpage",2017,2025,17-Jan,25-Dec,"100,000,000,000",,9,2016,1,NA,"The bank does not have the baseline number. But sustainable finance in the first year of the commitment was $11,000,000,000.", USD ,1,1,1,"2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,558,124,000,000","2,521,771,000,000","2,374,986,000,000","2,484,960,333,333","53,780,000,000","51,445,000,000","47,966,000,000"," Net operating income before change in expected credit losses and other credit impairment
 charges/Loan impairment charges and other credit risk provisions ",,"53,780,000,000","51,445,000,000","47,966,000,000","51,063,666,667","18,791,069,416.00","21,555,529,648","17,461,132,665","19,269,243,910",https://www.hsbc.com/media/media-releases/2017/hsbc-to-help-combat-climate-change-with-a-100-billion-boost-for-sustainable-financing,,
Bank of America,US,"2,281.23","2,281,230,000,000",Yes,"300,000,000,000",Bank of America committed to mobilizing an additional $300 billion in capital through its Environmental Business Initiative between 2020 and 2030.,Yes,"The finance is designated for promoting low-carbon and sustainable business and, more specifically, to advance ""Sustainable Energy and Transportation, Climate Resiliency, Clean Water and Sanitation.""",Yes,"The commitment includes lending, investing, capital raising, advisory services and developing financing solutions.",Specific,"The start year was not specified in the announcement, but it is noted on the sustainability page of the website that the commitment for an additional $300 billion by 2030 will launch in 2020. ",No,The accounting methodology is not described.,Yes,"A reporting plan was not mentioned in the announcement. In the previous commitment period (2013-2025), the bank reported multi-year combined progress since 2013, and annual progress for 2017. Given this track record, we assume that the bank will continue to report on its progress under its most recent commitment.",Yes,The Vice Chairman is quoted in the press release. ,"27,272,727,273","35,562,231,004","2,274,602,666,666.67","87,433,333,333",Renewal,Flow,"Lending, equity investment, facilitation of (debt/equity) capital raising, advisory for merger & acquisition ","""Corporate Environmental Sustainability at Bank of America"" webpage",2020,2030,20-Jan,30-Dec,"300,000,000,000",,11,2018,1,"21,500,000,000",, USD ,1,1,1,"2,354,507,000,000","2,281,234,000,000","2,188,067,000,000","2,354,507,000,000","2,281,234,000,000","2,188,067,000,000","2,274,602,666,667","91,247,000,000","87,352,000,000","83,701,000,000"," Total revenue, net of interest expense ",,"91,247,000,000","87,352,000,000","83,701,000,000","87,433,333,333","33,745,231,487.00","36,879,470,714","36,061,990,812","35,562,231,004",https://newsroom.bankofamerica.com/press-releases/environment/bank-america-commits-300-billion-2030-low-carbon-sustainable-business,https://about.bankofamerica.com/en-us/what-guides-us/environmental-sustainability.html?bcen=8a6b#fbid=k18LvhI1Xmu,
Credit Agricole Group,France,"2,117.16","2,117,160,000,000",Yes,"26,572,800,000",Credit Agricole Group committed doubling the size of the green loan portfolio to 13bn by 2022 (CACIB); allocating 6bn for SRI loans in the Group liquidity portfolio by 2022; and investing 5 bn in the energy transition through dedicated asset management companies in five years (made in 2015).,No,"The commitments are for green loans, SRI loans, and investments in the energy transition but further details are not provided.",Yes,"The commmitments include loans, bonds, and asset management.",Specific,Timelines of the two most recent pledges are specified in Group 2022 Midterm Plan (2019-2020). The timeline for the other active pledge is specified on the website (2015-2020).,No,The accounting methodology is not described.,No,A reporting plan was not mentioned in the announcement. Because this announcement was made recently (July 2019) no progress reporting has been identified. Annual progress has been reported on the website for the previous 100 billion green financing target  (http://credit-agricole.publispeak.com/energy-transition-2017/?pageno=5).,No,No senior management commentary found on the commitment. ,"3,796,114,286","10,720,581,217","1,786,383,626,166.67","21,013,318,733",New,Stock,"Lending, asset management service","""Climate Finance"" webpage - climate strategy document",2016,2022,16-Jan,22-Dec,"24,000,000,000",EUR,7,2015,1.1072,NA,, EUR ,1.18,1.13,1.107,"1,624,394,000,000","1,550,283,000,000","1,524,232,000,000","1,919,546,389,800","1,751,974,818,300","1,687,629,670,400","1,786,383,626,167","19,736,000,000","18,634,000,000","16,853,000,000", Revenues ,,"23,322,031,200","21,058,283,400","18,659,641,600","21,013,318,733","12,617,503,969.00","10,866,894,915","8,677,344,766","10,720,581,217",https://pressroom.credit-agricole.com/news/credit-agricole-adopts-a-new-climate-strategy-8974-94727.html,https://pressroom.credit-agricole.com/news/climate-financing-credit-agricole-s-a-is-taking-its-commitments-further-7582-94727.html,
Citigroup ,US,"1,842.47","1,842,470,000,000",Yes,"100,000,000,000","Citigroup Inc. committed to to lending, investing and facilitating a total of $100 billion to finance activities that reduce the impacts of climate change and create environmental solutions that benefit people and communities between 2014 and 2023.",Yes,"The commitment is designated to finance renewable energy, water quality and conservation, sustainable transportation, green building, energy efficiency, and clean technology (listed on the webpage).",Yes ,"The commitment includes lending, investing and facilitating.",Specific,"The press release does not specify the commitment period, but it is clearly indicated in the web-page titled ""$100 Billion Environmental Finance Goal"" (2014-2023).",Yes,A detailed accounting methodology is provided on its website (https://www.citigroup.com/citi/sustainability/accounting.htm),Yes,A reporting plan was not mentioned in the announcement but cumulative progress is reported on its website.,Yes,The CEO is quoted in the press release. ,"10,000,000,000","43,164,371,161","1,850,641,666,666.67","72,031,666,667",Renewal,Flow,"Lending, equity investment, facilitation of (debt/equity) capital raising, advisory for merger & acquisition, insurance and other risk hedging products","""$100 Billion Environmental Finance Goal"" webpage",2014,2023,14-Jan,23-Dec,"100,000,000,000",,10,2013,1,"8,800,000,000.00","The scope includes internal operational
projects as well as financing for alternative
energy, investments in clean technology,
and lending for green affordable housing
and other community assets.", USD ,1,1,1,"1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,917,383,000,000","1,842,465,000,000","1,792,077,000,000","1,850,641,666,667","72,854,000,000","72,444,000,000","70,797,000,000"," Total revenues, net of interest expense ",,"72,854,000,000","72,444,000,000","70,797,000,000","72,031,666,667","43,259,345,961.00","44,673,763,595","41,560,003,927","43,164,371,161",https://www.citigroup.com/citi/news/2015/150218a.htm,https://www.citigroup.com/citi/sustainability/accounting.htm,
Societe Generale,France,"1,531.13","1,531,130,000,000",Yes,"110,720,000,000",Societe Generale committed to raising 100 billion in financing for the energy transition between 2016 and 2020.,Yes,The press release indicated the funding would be allocated to renewable energy. ,Yes ,"The type of finance was not specified in the press release (only described as ""project finance"") but a web-page reporting the progress indicates it includes issuances of green bonds and advisory and financing services.",Specific,The start year was not clear in the press release but it is clarified on the bank's website (2016-2020).,No,The accounting methodology is not described.,Yes,A reporting plan was not mentioned in the announcement but the cumulative progress is reported on its website.,Yes,The Deputy CEO is quoted in the press release. ,"22,144,000,000","12,156,487,728","1,495,996,419,600.00","28,288,369,833",New,Flow,"Facilitation of (debt/equity) capital raising, advisory for merger & acquisition","""Climate Commitments"" webpage",2016,2020,16-Jan,20-Dec,"100,000,000,000", EUR ,5,2015,1.1072,NA,, EUR ,1.18,1.13,1.11,"1,309,428,000,000","1,275,128,000,000","1,354,422,000,000","1,547,351,067,600","1,441,022,152,800","1,499,616,038,400","1,495,996,419,600","25,205,000,000","23,954,000,000","25,298,000,000", Net banking income ,,"29,784,748,500","27,070,415,400","28,009,945,600","28,288,369,833","13,418,620,163.00","10,707,657,960","12,343,185,061","12,156,487,728",https://www.societegenerale.com/en/commitments-to-the-fight-against-climate-change/archive,,
Lloyds Banking Group,UK,"1,097.67","1,097,670,000,000",Yes,"4,008,900,000","Lloyds Banking Group committed to provide 2 billion of new funding to help United Kingdom (UK) businesses invest in a more sustainable future and increase productivity, increasing its total green lending commitment to 3bn in its ambition to support UK businesses to grow sustainably. ",Yes,"Qualifying ""green purposes"" for the financing include (all intended for business sector): GHG emission reduction; energy efficiency; low carbon transport; waste reduction and improvement in recycling; and  water efficiency improvement. Eligibility criteria are linked to  key performance indicators around energy and carbon emissions reductions.  ",Yes,The commitment is for lending.,Specific,"The 2016 announcement explicitly marks the launch of the Green Commercial Real Estate Fund. The  announcement for Clean Growth Finance Initiative notes a 2018 start date. The end date for both pledges, 2020, is noted in a documents on the bank's website. ",No,The accounting methodology is not described.,No,"A reporting plan was not mentioned in the announcement. The bank reports progress in terms of impact metrics, but does not systematically report progress in terms of amount of finance provided. The bank has only reported progress, in terms of amount of finance provided for one of the two green targets (the Green Commercial Real Estate and not the Clean Growth Finance Initiative).  ",No,The Group Director Commercial Banking is quoted.  ,"801,780,000","2,574,715,089","1,073,719,039,966.67","24,115,597,767",Renewal,Flow,Lending,The commitment is not visible on any easily identifiable pages.,2016,2020,,,"3,000,000,000", GBP ,5,2015,1.3363,NA,, GBP ,1.34,1.29,1.36,"797,598,000,000","812,109,000,000","817,793,000,000","1,065,830,207,400","1,046,808,501,000","1,108,518,411,500","1,073,719,039,967","18,626,000,000","18,659,000,000","17,267,000,000"," Total income, net of insurance claims ",,"24,889,923,800","24,051,451,000","23,405,418,500","24,115,597,767","2,574,715,089.00",,,"2,574,715,089",https://www.lloydsbankinggroup.com/Media/Press-Releases/2018-press-releases/lloyds-banking-group/lloyds-banking-group-launches-2bn-clean-growth-finance/,https://www.lloydsbankinggroup.com/globalassets/documents/our-group/responsibility/hbpp-2019/lbg_resbus_hbppperfdata_190219.pdf,
Toronto-Dominion Bank,Canada,"1,026.36","1,026,360,000,000",Yes,"77,017,868,145","TD Bank Group announced a target of C$100 billion in low-carbon lending, financing, and asset management and other programs by 2030. ",Yes,"The finance is designated for low-carbon power generation, energy efficiency and management, and green infrastructure/sustainable land use (further breakdown is provided). ",Yes,"The commitment includes lending, financing, asset management and other programs.",Specific,The start year was unclear in the announcement but it is clarified by the first year reporting on the website (2017-2030).,Yes,"The accounting methodology is provided in ""TD Low-Carbon Economy Progress Report"" (https://www.td.com/document/PDF/corporateresponsibility/2018-LC-Economy-Report.pdf).",Yes,"A reporting plan was not mentioned in the announcement but progress is reported in ""TD Low-Carbon Economy Progress Report.""",Yes,The President and CEO is quoted in the press release. ,"5,501,276,296","24,716,951,760","968,019,140,809.27","26,083,093,279",New,Combination,"Lending, facilitation of (debt/equity) capital raising, advisory for merger & acquisition, insurance and other risk hedging products, internal spending on sustainability programs, asset management service","""Vibrant Planet"" webpage",2017,2030,16-Nov,30-Oct,"100,000,000,000", CAD ,14,2016,0.770178681,NA,"The bank does not have the baseline sustainable finance figure. But in fiscal years 2017 and 2018, TD contributed $30.3 billion in support of the transition to a low-carbon economy through our lending, financing, asset management, and internal corporate programs", CAD ,0.77,0.77,0.76,"1,334,903,000,000","1,278,995,000,000","1,176,967,000,000","1,030,256,232,153","985,054,682,686","888,746,507,589","968,019,140,809","36,390,000,000","33,903,000,000","31,853,000,000", Total revenue - Insurance claims and related expenses ,,"28,085,204,909","26,111,367,837","24,052,707,091","26,083,093,279","24,407,851,385.00","29,227,126,866","20,515,877,028","24,716,951,760",http://td.mediaroom.com/index.php?s=19518&item=135953,,
Goldman Sachs Group,US,916.78,"916,780,000,000",Yes,"150,000,000,000",The Goldman Sachs Group Inc. announced that it will expand its clean energy target to $150 billion in financing and investment by 2025 as part of its updated Environmental Policy Framework.  ,Yes,"The target is focused on capital deployment in the clean technology and renewable energy sector, which includes solar, wind, sustainable hydro, biomass, geothermal, advanced biofuels, energy efficiency and advanced materials, energy storage, LED lighting, electric vehicles, and renewable energy transmission, among other clean technologies.",Yes,"The commitment includes financing and co-investment for commercial transactions. It does not include financial advisory, market making activities, or grant-related funding for the sector.",Specific,"In the renewal announcement in 2015, the bank defines the time horizon of the announcement as from 2012 to 2025. ",Yes,The accounting methodology is presented in the bank's impact report (https://www.goldmansachs.com/citizenship/environmental-stewardship/market-opportunities/clean-energy/impact-report/report.pdf). ,Yes,"The bank notes it will report on progress annually through it's Environmental, Social and Governance Impact Report and the Environmental Stewardship section of the website.",Yes,The Chairman and CEO is quoted in the announcement of the commitment. ,"10,714,285,714","19,752,495,086","902,912,333,333.33","33,378,666,667",Renewal,Flow,"Lending, equity, facilitation of (debt/equity) capital raising ","""Environmental Stewardship"" webpage",2012,2025,12-Jan,25-Dec,"150,000,000,000",,14,2011,1,"5,300,000,000",, USD ,1,1,1,"931,796,000,000","916,776,000,000","860,165,000,000","931,796,000,000","916,776,000,000","860,165,000,000","902,912,333,333","36,616,000,000","32,730,000,000","30,790,000,000", Total net revenues ,,"36,616,000,000","32,730,000,000","30,790,000,000","33,378,666,667","17,336,989,810.00","19,411,602,923","22,508,892,525","19,752,495,086",https://www.goldmansachs.com/media-relations/press-releases/current/announcement-11-2-15.html,https://www.goldmansachs.com/media-relations/press-releases/current/announcement-11-2-15.html,
