Country/area,Technology,Jobs (thousand),Source,Note,Year
Albania,All technologies,10.504,,,2019
Albania,Biogas,,,,2019
Albania,CSP,,,,2019
Albania,Geothermal Energy,,,,2019
Albania,Hydropower,10.204,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Albania,Liquid Biofuels,,,,2019
Albania,Municipal and industrial waste,,,,2019
Albania,Others,,,,2019
Albania,Solar Heating / Cooling,0.3,IRENA estimate,Based on employment factors and capacity data,2019
Albania,Solar Photovoltaic,,,,2019
Albania,Solid Biomass,,,,2019
Albania,Wind Energy,,,,2019
Algeria,All technologies,6.888,,,2019
Algeria,Biogas,,,,2019
Algeria,CSP,,,,2019
Algeria,Geothermal Energy,,,,2019
Algeria,Hydropower,,,,2019
Algeria,Liquid Biofuels,,,,2019
Algeria,Municipal and industrial waste,,,,2019
Algeria,Others,1.848,Elmoudjahid (2016); SKTM (2016); Condor (2016),"These are people employed in CDER, SKTM and Condor (835 + 1059 + 200)",2019
Algeria,Solar Heating / Cooling,,,,2019
Algeria,Solar Photovoltaic,5.04,IRENA estimate,IRENA estimate based on data from Renewable Energy Development Centre (CDER),2019
Algeria,Solid Biomass,,,,2019
Algeria,"Tide, Wave and Ocean Energy",,,,2019
Algeria,Wind Energy,,,,2019
All World,All technologies,11458.51,,,2019
All World,Biogas,341.844,,,2019
All World,CSP,29.508,,,2019
All World,Geothermal Energy,99.394,,,2019
All World,Hydropower,1957.047,,,2019
All World,Liquid Biofuels,2474.987,,,2019
All World,Municipal and industrial waste,39.026,,,2019
All World,Others,8.638,,,2019
All World,Solar Heating / Cooling,822.844,,,2019
All World,Solar Photovoltaic,3754.552,,,2019
All World,Solid Biomass,764.258,,,2019
All World,"Tide, Wave and Ocean Energy",1.125,,,2019
All World,Wind Energy,1165.287,,,2019
Angola,All technologies,2.832,,,2019
Angola,Biogas,,,,2019
Angola,CSP,,,,2019
Angola,Geothermal Energy,,,,2019
Angola,Hydropower,2.832,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Angola,Liquid Biofuels,,,,2019
Angola,Municipal and industrial waste,,,,2019
Angola,Others,,,,2019
Angola,Solar Heating / Cooling,,,,2019
Angola,Solar Photovoltaic,,,,2019
Angola,Solid Biomass,,,,2019
Angola,"Tide, Wave and Ocean Energy",,,,2019
Angola,Wind Energy,,,,2019
Argentina,All technologies,27.191,,,2019
Argentina,Biogas,0.349,IRENA focal point,,2019
Argentina,CSP,,,,2019
Argentina,Geothermal Energy,,,,2019
Argentina,Hydropower,12.158,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Argentina,Liquid Biofuels,5.528,IRENA focal point,"Biodiesel 4,826 and Bioethanol 702",2019
Argentina,Municipal and industrial waste,,,,2019
Argentina,Others,,,,2019
Argentina,Solar Heating / Cooling,0.8,IRENA focal point,,2019
Argentina,Solar Photovoltaic,2.722,IRENA focal point,2625 in construction and 97 in O&M,2019
Argentina,Solid Biomass,1.918,IRENA focal point,1713 in construction and 205 in O&M,2019
Argentina,"Tide, Wave and Ocean Energy",,,,2019
Argentina,Wind Energy,3.716,IRENA focal point,3374 in construction and 342 in O&M,2019
Australia,All technologies,30.453,,,2019
